,year,name,href,type,boxoffice,mean_price,mean_people,times
98,2011,倩女幽魂,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=588488,爱情,14093,34,22,2011-04-19
99,2011,鸿门宴,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589662,动作,13960,33,24,2011-11-29
100,2012,人再囧途之泰囧,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=610009,喜剧,100303,32,57,2012-12-12
101,2012,泰坦尼克号3D,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=596420,爱情,94620,45,54,2012-04-10
102,2012,画皮2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589501,爱情,70210,41,37,2012-06-28
103,2012,碟中谍4,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=359941,动作,67219,35,43,2012-01-28
104,2012,少年派的奇幻漂流,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=353063,剧情,57289,39,38,2012-11-22
105,2012,复仇者联盟,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=609952,科幻,56649,42,33,2012-05-05
106,2012,十二生肖,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573367,动作,53527,41,50,2012-12-20
107,2012,黑衣人3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=593764,动作,50343,41,29,2012-05-25
108,2012,冰川时代4：大陆漂移,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=604230,动画,44743,38,28,2012-07-27
109,2012,地心历险记2：神秘岛,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=590370,科幻,38652,42,31,2012-02-10
110,2012,一九四二,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=593912,剧情,36994,37,31,2012-11-29
111,2012,蝙蝠侠：黑暗骑士崛起,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=566673,动作,33878,37,29,2012-08-27
112,2012,敢死队2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=605129,动作/惊悚,33158,33,26,2012-09-04
113,2012,超凡蜘蛛侠,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=385555,科幻,31052,41,26,2012-08-27
114,2012,超级战舰,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=602933,动作/科幻,31011,34,31,2012-04-18
115,2012,异星战场,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=348314,科幻/动作,26009,40,25,2012-03-16
116,2012,寒战,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=596138,动作,25304,32,21,2012-11-08
117,2012,听风者,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=593828,剧情,23217,35,26,2012-08-07
118,2012,普罗米修斯,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=602960,科幻,22321,40,23,2012-09-02
119,2012,谍影重重4,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=396492,动作,21315,33,22,2012-10-25
120,2012,马达加斯加3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=566546,动画,20916,39,24,2012-06-08
